경로	키	갱신 시각	카테고리	원문	번역문	수정문	(일) 코멘트	(한) 코멘트
JP_AbEvents-a1c5p3.json:50	1050101-successDesc[1]	2025-06-26	표현 개선	[{0}] 수감자는 내 대답을 듣자마자 쏜살같이 뛰쳐나가더니, 이제 막 배 안으로 넘어 들어오려는 인어의 머리통을 박살내버렸다.\n\n"이런 인어 따위에 시간 낭비를 하고 있을 순 없죠."\n\n그렇게 말하는 수감자의 뒤로, 무언가 익숙한 모양의 조각이 떨어져 나왔다.\n\n"……."\n\n그건 파일럿을 구출했을 때도 보았던 LCCB의 사원증 이었다.\n\n…마음이 좋지 않지만 계속 나아가야겠지.	囚人[{0}]は私の返事を聞くや否や矢のように飛び出し、まさに船へ入ろうとする人魚の頭をぶっ潰した。\n\n「こんな人魚なんかに時間を浪費するわけにはいきません。」\n\nそう言う囚人の後ろに、何か見慣れた形の何かが落ちてきた。\n\n「……。」\n\nそれはパイロットを救出した際にも見た、LCCBの社員証だった。\n\n…すっきりしないけど、進み続けないと。	囚人[{0}]は私の返事を聞くや否や矢のように飛び出し、まさに船へ入ろうとする人魚の頭をぶっ潰した。\n\n「こんな人魚なんかに時間を浪費するわけにはいきません。」\n\nそう言う囚人の後ろに、何か見慣れた形の欠片が落ちてきた。\n\n「……。」\n\nそれはパイロットを救出した際にも見た、LCCBの社員証だった。\n\n…すっきりしないけど、進み続けないと。	表現改善: "「何か見慣れた」に「何か」が続いて日本語として冗長に聞こえるため、原文の「조각」を汲み取った「何か見慣れた形の欠片」に修正"	표현 개선: "'何か見慣れた'에 '何か'가 이어져 일본어로는 중복되고 어색하게 들리므로, 원문의 '조각'을 반영한 '何か見慣れた形の欠片'로 수정함"
JP_AbEvents-a1c5p3.json:91	1050202-successDesc[0]	2025-06-12	오기	"확 트여… 아! 밑으로 떨어지는 폭포! 수면에 확 붙여야 해!"\n\n"후… 아! 계속해서 암초가! 왼쪽, 왼쪽 유지… 그리고 오른쪽으로!"\n\n[{0}] 수감자의 확실한 지시 덕에, 달려드는 모든 인어를 제치고 수로를 빠져나올 수 있었다.	「開けてき…あっ！滝だ！水面しっかりへばりつけ！」\n\n「ふぅ…あっ！続けて暗礁が！左、左を維持…そして右へ！」\n\n囚人の[{0}]明確な指示のおかげで、襲いかかってくる全ての人魚を避けて水路を抜け出すことができた。	「開けてき…あっ！滝だ！水面しっかりへばりつけ！」\n\n「ふぅ…あっ！続けて暗礁が！左、左を維持…そして右へ！」\n\n囚人[{0}]の明確な指示のおかげで、襲いかかってくる全ての人魚を避けて水路を抜け出すことができた。	誤記: "「囚人の[{0}]明確な」指示のおかげで、襲いかかってくる全ての人魚を避けて水路を抜け出すことができた。" 訂正後: "「囚人[{0}]の明確な」指示のおかげで、"	오기: "「囚人の[{0}]明確な」指示のおかげで、襲いかかってくる全ての人魚を避けて水路を抜け出すことができた。" 정확: "「囚人[{0}]の明確な」指示のおかげで、"
JP_AbEvents-a1c5p3.json:92	1050202-successDesc[1]	2025-06-12	오기	"확 트여… 아! 밑으로 떨어지는 폭포! 수면에 확 붙여야 해!"\n\n"후… 아! 계속해서 암초가! 왼쪽, 왼쪽 유지… 그리고 오른쪽으로!"\n\n[{0}] 수감자의 확실한 지시 덕에, 달려드는 모든 인어를 제치고 수로를 빠져나올 수 있었다.\n\n"…오랜만이네, 이러는 것도."\n\n"잦았어. 스타벅, 키 붙잡고. 너와 나, 소리 지르고…"\n\n"그랬지…"\n\n배 곳곳에는 여기까지 지나오면서 묻은 인어의 피와 기름이 잔뜩 배어있다.\n\n"써먹을 수 있다. 이것들. 통에 넣어서."\n\n찰랑거릴 정도로 흘러다니는 기름을 통에 집어넣는 동안, 배는 자연스레 다음 구역으로 흘러갔다.	「開けて…あっ！滝だ！水面しっかりへばりつけ！」\n\n「ふぅ…あっ！続けて暗礁が！左、左を維持…そして右へ！」\n\n囚人の[{0}]明確な指示のおかげで、襲いかかってくる全ての人魚を避けて水路を抜け出すことができた。\n\n「…久々だなぁ、こうするのも。」\n\n「よくあった。スターバック、かじをにぎって。きみとあたい、おおごえだして。」\n\n「そうだったよね…。」\n\n舟のあちこちに、ここを通り過ぎながら付いた人魚の血と油がびっしり染みついていた。\n\n「つかえる。これ。ようきにいれて。」\n\nたぷつくほどに溢れかえる油を樽に入れている間、船は自然と次の区域に流れていった。	「開けて…あっ！滝だ！水面しっかりへばりつけ！」\n\n「ふぅ…あっ！続けて暗礁が！左、左を維持…そして右へ！」\n\n囚人[{0}]の明確な指示のおかげで、襲いかかってくる全ての人魚を避けて水路を抜け出すことができた。\n\n「…久々だなぁ、こうするのも。」\n\n「よくあった。スターバック、かじをにぎって。きみとあたい、おおごえだして。」\n\n「そうだったよね…。」\n\n舟のあちこちに、ここを通り過ぎながら付いた人魚の血と油がびっしり染みついていた。\n\n「つかえる。これ。ようきにいれて。」\n\nたぷつくほどに溢れかえる油を樽に入れている間、船は自然と次の区域に流れていった。	誤記: "「囚人の[{0}]明確な」指示のおかげで、襲いかかってくる全ての人魚を避けて水路を抜け出すことができた。" 訂正後: "「囚人[{0}]の明確な」指示のおかげで、"	오기: "「囚人の[{0}]明確な」指示のおかげで、襲いかかってくる全ての人魚を避けて水路を抜け出すことができた。" 정확: "「囚人[{0}]の明確な」指示のおかげで、"
JP_AbEvents-a1c6p2.json:7	816401-eventDesc	2025-06-12	오기	또 다른 세계의 히스클리프가 히스클리프를 노려본다.\n\n새겨졌다고 착각할 정도로 새빨간 눈알의 핏줄은 하나 하나가 증오를 담고 있는 듯 하다.\n\n”네 시답잖은 모험도 여기서 종착이다.”\n\n”고통의 나락으로 몸을 던지고, 떨어져 죽을 때까지 끊임 없이 괴로워해라.”\n\n”그게, 히스클리프로 인해 죽어버린 캐시에게 할 수 있는 작디 작은 속죄일테니.”\n\n”이 새끼가 끝까지…!”\n\n히스클리프는 더는 들어줄 수 없다는 듯, 땅을 박차고 뛰어나갔다.	別の世界のヒースクリフが、ヒースクリフを睨み付ける。\n\n刻まれてしまったと錯覚するくらいに真っ赤な目玉の血管には、一つ一つ憎悪が宿っているように見える。\n\n「テメェのくだらねぇ冒険もここで終わりだ。」\n\n「苦痛の堕落に身を投げ、堕ちて死ぬときまで絶えず苦しめ。」\n\n「それが、ヒースクリフによって死んでしまったキャシーにやってやれる小さな、小さすぎる贖罪だ。」\n\n「この野郎が、最後まで…！」\n\nヒースクリフはもう聞いてられないという風に、地面を蹴って掛けだした。	別の世界のヒースクリフが、ヒースクリフを睨み付ける。\n\n刻まれてしまったと錯覚するくらいに真っ赤な目玉の血管には、一つ一つ憎悪が宿っているように見える。\n\n「テメェのくだらねぇ冒険もここで終わりだ。」\n\n「苦痛の堕落に身を投げ、堕ちて死ぬときまで絶えず苦しめ。」\n\n「それが、ヒースクリフによって死んでしまったキャシーにやってやれる小さな、小さすぎる贖罪だ。」\n\n「この野郎が、最後まで…！」\n\nヒースクリフはもう聞いてられないという風に、地面を蹴って駆けだした。	誤記: "ヒースクリフはもう聞いてられないという風に、地面を蹴って「掛けだした」。" 訂正後: "地面を蹴って「駆けだした」。"	오기: "ヒースクリフはもう聞いてられないという風に、地面を蹴って「掛けだした」。" 정확: "地面を蹴って「駆けだした」。"
JP_AbEvents-a1c6p3.json:65	817304-successDesc[1]	2025-06-12	오기	“말 안해도 알아…!”\n\n히스클리프는 그 어느 때 보다 진지한 표정으로 거대한 손을 향해 달려나갔다.\n\n“큭, 히스클리프…!”\n\n“내 캐시를 내놔… 아직 전해야 할 말이 남았다고…!”\n\n히스클리프의 돌발적인 공격에 당황한 듯, 거대한 손은 별다른 저항도 못하고 무력화 되었다.\n\n직감적으로 알 수 있었다.\n\n이제, 얼마 남지 않았다는 것을.	「言われなくても分かるっての…！」\n\nヒースクリフはいつにも増して真剣な表情で、巨大な手に向かって掛けだした。\n\n「くっ、ヒースクリフ…！」\n\n「オレのキャシーを返せ…伝えるべき言葉がまだあんだよ…！」\n\nヒースクリフの突発的な攻撃に慌てたらしく、巨大な手は何の抵抗もなく無力化された。\n\n直感的に分かった。\n\nもう、そろそろだということを。	「言われなくても分かるっての…！」\n\nヒースクリフはいつにも増して真剣な表情で、巨大な手に向かって駆けだした。\n\n「くっ、ヒースクリフ…！」\n\n「オレのキャシーを返せ…伝えるべき言葉がまだあんだよ…！」\n\nヒースクリフの突発的な攻撃に慌てたらしく、巨大な手は何の抵抗もなく無力化された。\n\n直感的に分かった。\n\nもう、そろそろだということを。	誤記: "ヒースクリフはいつにも増して真剣な表情で、巨大な手に向かって「掛けだした」。" 訂正後: "巨大な手に向かって「駆けだした」。"	오기: "ヒースクリフはいつにも増して真剣な表情で、巨大な手に向かって「掛けだした」。" 정확: "巨大な手に向かって「駆けだした」。"
JP_AbEvents-a1c6p3.json:69	817304-failureDesc[1]	2025-06-12	오기	“말 안해도 알아…!”\n\n히스클리프는 그 어느 때 보다 진지한 표정으로 거대한 손을 향해 달려나갔다.\n\n“히스클리프?! 어떻게 이런…”\n\n하지만 그 혼란 속에서, 히스클리프가 움직이는 건 정확하게 알아차릴 수 있었던 걸까.\n\n“젠장!”\n\n히스클리프는 간발의 차이로 휘둘러 쳐지는 손을 피할 수 있었다.\n\n“&lt;히스클리프…&gt;”\n\n“기어 들어가는 목소리로 말하지 마라, 시계 대가리…”\n\n“난 이제 절대 포기 안하니까.”	「言われなくても分かるっての…！」\n\nヒースクリフはいつにも増して真剣な表情で、巨大な手に向かって掛けだした。\n\n「ヒースクリフ！？どうしてこんな…。」\n\nでも、あの騒ぎの中でもヒースクリフの動きは正確に察知できたからだろうか。\n\n「クソッ！」\n\nヒースクリフはタッチの差で、なんとか振り回された手を避けることができた。\n\n「<ヒースクリフ…。>」\n\n「沈んだ声で言うなよ、時計ヅラ…。」\n\n「オレはもう、絶対諦めねぇから。」	「言われなくても分かるっての…！」\n\nヒースクリフはいつにも増して真剣な表情で、巨大な手に向かって駆けだした。\n\n「ヒースクリフ！？どうしてこんな…。」\n\nでも、あの騒ぎの中でもヒースクリフの動きは正確に察知できたからだろうか。\n\n「クソッ！」\n\nヒースクリフはタッチの差で、なんとか振り回された手を避けることができた。\n\n「<ヒースクリフ…。>」\n\n「沈んだ声で言うなよ、時計ヅラ…。」\n\n「オレはもう、絶対諦めねぇから。」	誤記: "ヒースクリフはいつにも増して真剣な表情で、巨大な手に向かって「掛けだした」。" 訂正後: "巨大な手に向かって「駆けだした」。"	오기: "ヒースクリフはいつにも増して真剣な表情で、巨大な手に向かって「掛けだした」。" 정확: "巨大な手に向かって「駆けだした」。"
JP_AbEvents-walpu5.json:26	97103802-failureDesc[0]	2025-06-12	오기	'최후에 어떤 일이 벌어질지 알려주었음에도 직접 쏘고 싶다는 건가.'\n\n'그래, 다음은 너일지도 모르겠군.'\n\n'이 총을 쏘고 싶다면... 그 거추장스러운 것들은 떼어놓고 오는 편이 좋을 거다.'\n\n그것은 곧바로 방아쇠를 당겨, {0} 수감자를 제외한 다른 수감자들을 탄환으로 꿰뚫었다.	「最後にどのような事が起こるのか知らせたのにもかかわらず、自分で撃ちたいというのか。」\n\n「そうか、次はお前かもしれないな。」\n\n「この銃を撃ちたいなら…その厄介なものは外してくる方が良いだろう。」\n\nそれはすぐさま引き金を引き、囚人{0}を除いた他の囚人たちを弾丸を貫いた。	「最後にどのような事が起こるのか知らせたのにもかかわらず、自分で撃ちたいというのか。」\n\n「そうか、次はお前かもしれないな。」\n\n「この銃を撃ちたいなら…その厄介なものは外してくる方が良いだろう。」\n\nそれはすぐさま引き金を引き、囚人{0}を除いた他の囚人たちを弾丸で貫いた。	誤記: "それはすぐさま引き金を引き、囚人{0}を除いた他の囚人たちを弾丸「を」貫いた。" 訂正後: "囚人{0}を除いた他の囚人たちを弾丸「で」貫いた。"	오기: "それはすぐさま引き金を引き、囚人{0}を除いた他の囚人たちを弾丸「を」貫いた。" 정확: "囚人{0}を除いた他の囚人たちを弾丸「で」貫いた。"
JP_AbEvents-walpu5.json:60	97104101-behaveDesc	2025-06-12	오기	누가 CQB를 익힐까?	誰がCBQを習得するんだろうか？	誰がCQBを習得するんだろうか？	誤記: "誰が「CBQ」を習得するんだろうか？" 訂正後: "誰が「CQB」を習得するんだろうか？"	오기: "誰が「CBQ」を習得するんだろうか？" 정확: "誰が「CQB」を習得するんだろうか？"
JP_AbEvents.json:97	800204-failureDesc[0]	2025-06-12	오기	{0} 수감자는 우리의 생각보다 따뜻한 사람이었나 봐.\n환상체는 아까보다 뜨거운 불꽃을 내뿜고 있어.	囚人{0}が囚人は私たちが思っているより温かい人だったみたい。\n幻想体はさっきより熱い炎を散らしているよ。	囚人{0}は私たちが思っているより温かい人だったみたい。\n幻想体はさっきより熱い炎を散らしているよ。	誤記: "囚人{0}「が囚人」は私たちが思っているより温かい人だったみたい。" 訂正後: "囚人{0}「」は私たちが思っているより温かい人だったみたい。"	오기: "囚人{0}「が囚人」は私たちが思っているより温かい人だったみたい。" 정확: "囚人{0}「」は私たちが思っているより温かい人だったみたい。"
JP_AbEvents.json:152	10100201-failureDesc[0]	2025-06-12	오기	'끄아악…!'\n\n단검을 찔러야 할 방향을 잘못 잡았다.\n군인의 피가래 끓는 목소리와 경악하는 표정이 길어져만 갔다.\n\n시간이 지나자 고통스러워 하던 군인이 숨을 거뒀다.\n후회와 증오를 담은 눈동자만 그 자리에 남았다.	「ぐぁあっ…！」\n\n短剣を突き刺す向を間違えた。\n軍人の血が喉でガラガラと鳴る音と驚愕の表情が引き延ばされるだけだった。\n\n時が経つと、苦しんでいた軍人が息を引き取った。\n後悔と憎悪の込められた瞳だけがその場に残った。	「ぐぁあっ…！」\n\n短剣を突き刺す向きを間違えた。\n軍人の血が喉でガラガラと鳴る音と驚愕の表情が引き延ばされるだけだった。\n\n時が経つと、苦しんでいた軍人が息を引き取った。\n後悔と憎悪の込められた瞳だけがその場に残った。	誤記: "短剣を突き刺す向「」を間違えた。" 訂正後: "短剣を突き刺す向「き」を間違えた。"	오기: "短剣を突き刺す向「」を間違えた。" 정확: "短剣を突き刺す向「き」を間違えた。"
